edge_weight__quantile__q_0.8,"edge_weight__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","edge_weight__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","edge_weight__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","edge_weight__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","edge_weight__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","edge_weight__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","edge_weight__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","edge_weight__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","edge_weight__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","edge_weight__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","edge_weight__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","edge_weight__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",edge_weight__quantile__q_0.7,"edge_weight__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","edge_weight__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","edge_weight__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","edge_weight__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",degree_avg__quantile__q_0.2,strength_avg__quantile__q_0.2,"edge_weight__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0","edge_weight__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","edge_weight__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","edge_weight__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.12790697674418605,0.11154678204434826,0.12777176852352626,0.12790697674418605,0.11154678204434826,0.12777176852352626,0.12790697674418605,0.11154678204434826,0.12777176852352626,0.11154678204434826,0.12790697674418605,0.12777176852352626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011627906976744186,-0.011627906976744186,-0.011627906976744186,-0.011627906976744186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
