Dataset,Aggregation Time,Metric,Lag,Value
Socio-calls graph,1d,Autocorrelation,0,1.0
Socio-calls graph,1d,Autocorrelation,1,0.2304952023361364
Socio-calls graph,1d,Autocorrelation,2,0.1481208285265157
Socio-calls graph,1d,Autocorrelation,3,0.1540249923916598
Socio-calls graph,1d,Autocorrelation,4,0.10870085861360336
Socio-calls graph,1d,Autocorrelation,5,0.09079098212440476
Socio-calls graph,1d,Autocorrelation,6,0.11727488424288536
Socio-calls graph,3d,Autocorrelation,0,1.0
Socio-calls graph,3d,Autocorrelation,1,0.29696120323634473
Socio-calls graph,3d,Autocorrelation,2,0.2110716196604605
Socio-calls graph,3d,Autocorrelation,3,0.12288590292686294
Socio-calls graph,3d,Autocorrelation,4,0.11266649253485747
Socio-calls graph,3d,Autocorrelation,5,0.11063755767319336
Socio-calls graph,3d,Autocorrelation,6,0.086885362521049
Socio-calls graph,1h,Weighted Jaccard Similarity,0,1.0
Socio-calls graph,1h,Weighted Jaccard Similarity,1,0.08682894123668641
Socio-calls graph,1h,Weighted Jaccard Similarity,2,0.053880389331862746
Socio-calls graph,1h,Weighted Jaccard Similarity,3,0.05544654646556688
Socio-calls graph,1h,Weighted Jaccard Similarity,4,0.04511566272154939
Socio-calls graph,1h,Weighted Jaccard Similarity,5,0.04275252319941547
Socio-calls graph,1h,Weighted Jaccard Similarity,6,0.03906237052130544
Socio-calls graph,1d,Weighted Jaccard Similarity,0,1.0
Socio-calls graph,1d,Weighted Jaccard Similarity,1,0.22187755758473512
Socio-calls graph,1d,Weighted Jaccard Similarity,2,0.19313110754035615
Socio-calls graph,1d,Weighted Jaccard Similarity,3,0.18933848229423295
Socio-calls graph,1d,Weighted Jaccard Similarity,4,0.17906712519416335
Socio-calls graph,1d,Weighted Jaccard Similarity,5,0.17105255483874135
Socio-calls graph,1d,Weighted Jaccard Similarity,6,0.17909007619155373
Socio-calls graph,3d,Weighted Jaccard Similarity,0,1.0
Socio-calls graph,3d,Weighted Jaccard Similarity,1,0.32939821518411916
Socio-calls graph,3d,Weighted Jaccard Similarity,2,0.30319534788572705
Socio-calls graph,3d,Weighted Jaccard Similarity,3,0.27790819593871324
Socio-calls graph,3d,Weighted Jaccard Similarity,4,0.2707731973239275
Socio-calls graph,3d,Weighted Jaccard Similarity,5,0.27358933993433066
Socio-calls graph,3d,Weighted Jaccard Similarity,6,0.26263998069734296
Socio-sms graph,1h,Autocorrelation,0,1.0
Socio-sms graph,1h,Autocorrelation,1,0.45076905285855506
Socio-sms graph,1h,Autocorrelation,2,0.20335393034747634
Socio-sms graph,1h,Autocorrelation,3,0.17536063248239264
Socio-sms graph,1h,Autocorrelation,4,0.11704106367276265
Socio-sms graph,1h,Autocorrelation,5,0.0674399324815006
Socio-sms graph,1h,Autocorrelation,6,0.058504362949330056
Socio-sms graph,1d,Autocorrelation,0,1.0
Socio-sms graph,1d,Autocorrelation,1,0.22929706846579126
Socio-sms graph,1d,Autocorrelation,2,0.11379419880319427
Socio-sms graph,1d,Autocorrelation,3,0.08068585750115326
Socio-sms graph,1d,Autocorrelation,4,0.07456495641664537
Socio-sms graph,1d,Autocorrelation,5,0.053760374479597
Socio-sms graph,1d,Autocorrelation,6,0.06363729932271991
Socio-sms graph,3d,Autocorrelation,0,1.0
Socio-sms graph,3d,Autocorrelation,1,0.20658383790332724
Socio-sms graph,3d,Autocorrelation,2,0.0742872338596908
