Dataset name,delta_t,tau,L,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel coefs
Hypertext graph,1800,1,10,475.5903563457246,0.8530442549323602,411.43825835505857,0.8445638321261233,353.6493318545537,0.8129826316734652,[5.45192677 0.54703801 0.         0.        ],353.6493318545537,0.8129826316734652,[5.45192677 0.54703801 0.         0.        ]
Hypertext graph,1800,0.25,10,475.5903563457246,0.8530442549323602,396.8869936971857,0.8202903085435042,377.5815600061692,0.8129826316734652,[4.38538831 0.63667525 0.         0.        ],377.5815600061692,0.8129826316734652,[4.38538831 0.63667525 0.         0.        ]
Hypertext graph,1800,0.5,10,475.5903563457246,0.8530442549323602,394.12231673573893,0.830753025769128,364.059950379904,0.8129826316734652,[4.71429761 0.60942093 0.         0.        ],364.059950379904,0.8129826316734652,[4.71429761 0.60942093 0.         0.        ]
Hypertext graph,1800,0.75,10,475.5903563457246,0.8530442549323602,401.61283940964785,0.840235887573538,357.3445441560916,0.8129826316734652,[5.1350396  0.57392336 0.         0.        ],357.3445441560916,0.8129826316734652,[5.1350396  0.57392336 0.         0.        ]
Hypertext graph,600,0.25,10,58.12570443914244,0.781734874233397,59.860847005964466,0.7462364129872521,57.41780934652256,0.7337081077845335,[1.32551494 0.69562275 0.         0.        ],57.41780934652256,0.7337081077845335,[1.32551494 0.69562275 0.         0.        ]
Hypertext graph,1800,1.25,10,475.5903563457246,0.8530442549323602,421.32508682672363,0.8453120101399115,351.498073448112,0.8129826316734652,[5.66884647e+00 5.24770714e-01 3.93894940e-03 0.00000000e+00],351.4999544281602,0.8129826316734652,[5.68002004e+00 5.26003509e-01 1.67209669e-03 0.00000000e+00]
Hypertext graph,1800,2.25,10,475.5903563457246,0.8530442549323602,451.4152111945092,0.8497376972027783,348.64055670268317,0.8129826316734652,[6.02214159 0.46353722 0.03681263 0.        ],348.64058512146255,0.8129826316734652,[6.02228761 0.46355495 0.03678067 0.        ]
Hypertext graph,1800,2,10,475.5903563457246,0.8530442549323602,445.5517761395502,0.8483709078321486,348.93148097361376,0.8129826316734652,[5.96210077 0.47347069 0.0316346  0.        ],348.93151328136264,0.8129826316734652,[5.96226834 0.47349098 0.03159813 0.        ]
Hypertext graph,1800,1.5,10,475.5903563457246,0.8530442549323602,430.4773058658431,0.8473735833239392,350.20157038918006,0.8129826316734652,[5.79496808 0.50345506 0.01497202 0.        ],350.20161408652393,0.8129826316734652,[5.79520074 0.50348186 0.01492333 0.        ]
Hypertext graph,1800,1.75,10,475.5903563457246,0.8530442549323602,438.58259681615147,0.8474074430141865,349.4119311848584,0.8129826316734652,[5.88756838 0.48644264 0.02458645 0.        ],349.41196835432805,0.8129826316734652,[5.8877635  0.48646576 0.0245447  0.        ]
Hypertext graph,1800,2.75,10,475.5903563457246,0.8530442549323602,460.22889042003777,0.8509700826891037,348.36213189547567,0.8129826316734652,[6.10932774 0.45005989 0.04340612 0.        ],348.3621550743263,0.8129826316734652,[6.10944512 0.45007418 0.04338023 0.        ]
Hypertext graph,1800,3.25,10,475.5903563457246,0.8530442549323602,466.00022811903705,0.8517447981863324,348.2668620610839,0.8129826316734652,[6.16561741 0.44212209 0.04690905 0.        ],348.2668275689618,0.8129826316734652,[6.16544338 0.44210286 0.04694554 0.        ]
Hypertext graph,1800,2.5,10,475.5903563457246,0.8530442549323602,456.26669306202615,0.8504626985708349,348.46584901272837,0.8129826316734652,[6.0704768  0.45591472 0.04061588 0.        ],348.46587448890085,0.8129826316734652,[6.07060667 0.45593054 0.04058731 0.        ]
Hypertext graph,1800,3,10,475.5903563457246,0.8530442549323602,463.4318343703668,0.8511003267962958,348.30150798628006,0.8129826316734652,[6.14049599 0.44556106 0.04544978 0.        ],348.30153005446243,0.8129826316734652,[6.14060656 0.44557542 0.04542438 0.        ]
Hypertext graph,1800,4.25,10,475.5903563457246,0.8530442549323602,471.9598382965881,0.8499703033644272,348.23071542359355,0.8129826316734652,[6.22428255 0.43465313 0.04977877 0.        ],348.23067864960757,0.8129826316734652,[6.22409927 0.43463283 0.04981747 0.        ]
Hypertext graph,3600,0.25,10,1372.5269912237125,0.8869624491149155,1095.629627893386,0.8449180806641539,1034.5774520145444,0.8423097091129879,[8.9937285  0.56426296 0.         0.        ],1034.5774520145444,0.8423097091129879,[8.9937285  0.56426296 0.         0.        ]
Hypertext graph,600,2.25,10,58.12570443914244,0.781734874233397,56.139643533626526,0.7777795300153483,46.828388317315884,0.7337081077845335,[1.55298829 0.6027561  0.03703894 0.        ],46.8095793753113,0.7337081077845335,[1.53610612 0.59508425 0.         0.0525216 ]
Hypertext graph,3600,0.5,10,1372.5269912237125,0.8869624491149155,1070.5722957715311,0.8452791513166411,986.0097746694862,0.8423097091129879,[8.9231627  0.57195255 0.         0.        ],986.0097746694862,0.8423097091129879,[8.9231627  0.57195255 0.         0.        ]
Hypertext graph,600,1,10,58.12570443914244,0.781734874233397,54.14965135022928,0.7656177396670109,48.70770725238995,0.7337081077845335,[1.42339575 0.66790683 0.         0.        ],48.70770725238995,0.7337081077845335,[1.42339575 0.66790683 0.         0.        ]
Hypertext graph,3600,0.75,10,1372.5269912237125,0.8869624491149155,1093.3921212815007,0.8471463811345851,967.7452036089036,0.8423097091129879,[9.68759619 0.53748106 0.         0.        ],967.7452036089036,0.8423097091129879,[9.68759619 0.53748106 0.         0.        ]
Hypertext graph,600,0.5,10,58.12570443914244,0.781734874233397,55.69676033624087,0.7537180209116617,52.593052756871806,0.7337081077845335,[1.28318252 0.70314976 0.         0.        ],52.593052756871806,0.7337081077845335,[1.28318252 0.70314976 0.         0.        ]
Hypertext graph,3600,1,10,1372.5269912237125,0.8869624491149155,1128.4248497997887,0.852536937854723,960.9502500236392,0.8423097091129879,[10.35027407  0.50675769  0.          0.        ],960.9502500236392,0.8423097091129879,[10.35027407  0.50675769  0.          0.        ]
Hypertext graph,3600,1.75,10,1372.5269912237125,0.8869624491149155,1229.614558029987,0.8726203293185563,959.2794494703425,0.8423097091129879,[11.57774119  0.44857056  0.          0.        ],959.2794494703425,0.8423097091129879,[11.57774119  0.44857056  0.          0.        ]
Hypertext graph,1800,4,10,475.5903563457246,0.8530442549323602,470.95086282979,0.8503877800361632,348.23263609818315,0.8129826316734652,[6.21416622 0.43585585 0.04936653 0.        ],348.23259967155684,0.8129826316734652,[6.21398423 0.43583571 0.0494049  0.        ]
Hypertext graph,1800,4.75,10,475.5903563457246,0.8530442549323602,473.3736828855793,0.8499608906962552,348.23089286482883,0.8129826316734652,[6.23877189 0.43302516 0.05027867 0.        ],348.2308556006277,0.8129826316734652,[6.23858687 0.43300465 0.05031782 0.        ]
Hypertext graph,3600,2.25,10,1372.5269912237125,0.8869624491149155,1278.5779036721224,0.8815886810986,961.5252421497299,0.8423097091129879,[12.01570657  0.42748644  0.          0.        ],961.5252421497299,0.8423097091129879,[12.01570657  0.42748644  0.          0.        ]
